area_name,Total,"Less than $10,000","$10,000 to \$14,999","\$15,000 to \$19,999","$20,000 to \$24,999","$25,000 to \$29,999","$30,000 to \$34,999","$35,000 to \$39,999","$40,000 to \$44,999","$45,000 to \$49,999","$50,000 to \$59,999","$60,000 to \$74,999","$75,000 to \$99,999","$100,000 to \$124,999","$125,000 to \$149,999","$150,000 to \$199,999","$200,000 or more"
"Block Group 2, Census Tract 306.01",548,92,109,33,28,0,0,61,0,12,0,52,25,34,0,76,26
"Block Group 3, Census Tract 306.01",742,0,70,37,10,55,8,127,19,0,65,99,78,59,17,20,78
"Block Group 1, Census Tract 306.03",606,51,76,12,38,0,14,27,28,7,23,30,115,77,38,50,20
"Block Group 2, Census Tract 306.03",754,23,66,27,17,16,20,97,47,36,91,170,97,0,14,16,17
"Block Group 1, Census Tract 306.04",786,73,26,0,45,16,0,75,30,73,51,87,167,23,12,44,64
"Block Group 2, Census Tract 306.04",857,140,79,0,9,12,61,14,0,39,13,118,128,62,84,12,86
"Block Group 3, Census Tract 306.04",466,93,69,65,0,0,77,0,0,63,15,22,0,20,0,30,12
"Block Group 1, Census Tract 307.01",877,85,51,61,56,58,63,47,11,17,67,130,49,50,36,39,57
"Block Group 1, Census Tract 307.02",555,91,22,44,4,6,37,12,14,20,5,34,54,26,52,63,71
"Block Group 2, Census Tract 307.02",959,99,24,40,67,19,43,14,21,33,83,58,92,261,28,16,61
"Block Group 1, Census Tract 307.03",494,39,117,32,15,9,0,0,38,0,11,64,19,53,18,69,10
"Block Group 2, Census Tract 307.03",418,42,156,109,17,9,9,28,19,0,0,4,0,0,0,25,0
"Block Group 3, Census Tract 307.03",1002,48,9,17,8,18,76,79,12,16,40,109,206,172,55,78,59
"Block Group 1, Census Tract 307.06",1402,60,73,78,42,22,124,34,233,133,93,192,136,27,18,44,93
"Block Group 2, Census Tract 307.06",480,0,11,0,0,77,0,0,0,7,38,0,183,14,71,0,79
"Block Group 1, Census Tract 308",630,18,34,0,11,0,0,52,0,47,86,39,98,92,0,14,139
"Block Group 2, Census Tract 308",534,37,0,0,0,0,56,0,56,0,18,11,82,55,32,68,119
"Block Group 3, Census Tract 308",543,0,0,0,0,0,33,17,17,0,63,105,19,64,44,47,134
"Block Group 4, Census Tract 308",460,0,0,16,80,0,0,0,16,0,16,16,131,11,28,25,121
"Block Group 1, Census Tract 309",217,26,0,0,16,0,0,0,0,0,0,30,0,63,5,31,46
"Block Group 2, Census Tract 309",553,0,0,0,0,79,0,8,51,24,48,11,67,50,13,62,140
"Block Group 3, Census Tract 309",422,0,0,35,9,0,0,0,67,18,87,20,0,17,33,62,74
"Block Group 4, Census Tract 309",289,0,0,0,0,0,0,0,0,0,0,10,80,71,18,47,63
"Block Group 1, Census Tract 310",390,0,0,0,0,0,21,0,0,0,30,57,45,52,0,66,119
"Block Group 2, Census Tract 310",636,16,0,25,0,0,16,32,14,30,0,69,0,55,84,130,165
"Block Group 3, Census Tract 310",958,0,0,0,0,24,37,27,4,0,127,82,177,88,165,148,79
"Block Group 1, Census Tract 311",1061,29,0,0,57,26,0,0,90,12,58,102,275,77,103,124,108
"Block Group 2, Census Tract 311",949,84,137,55,41,12,36,0,80,0,0,90,159,105,75,4,71
"Block Group 3, Census Tract 311",851,114,83,0,12,28,12,0,13,32,31,142,183,19,88,20,74
"Block Group 1, Census Tract 312",555,0,87,0,0,35,13,8,0,37,77,121,50,11,33,44,39
"Block Group 2, Census Tract 312",846,72,115,18,257,0,41,25,0,47,84,13,91,20,0,63,0
"Block Group 3, Census Tract 312",984,161,244,181,38,114,18,42,18,0,0,69,0,37,36,26,0
"Block Group 4, Census Tract 312",1072,156,324,122,17,0,37,50,20,45,98,122,0,38,0,14,29
"Block Group 1, Census Tract 313",882,0,0,44,183,15,28,37,103,61,35,129,105,22,14,0,106
"Block Group 2, Census Tract 313",882,132,46,0,0,45,15,0,15,0,23,225,113,114,45,46,63
"Block Group 3, Census Tract 313",264,73,0,0,0,0,0,0,0,0,0,16,25,92,58,0,0
"Block Group 4, Census Tract 313",1566,60,264,157,99,107,12,38,0,0,67,178,290,23,101,106,64
"Block Group 5, Census Tract 313",908,72,0,47,65,41,12,67,31,12,7,162,170,118,46,11,47
"Block Group 1, Census Tract 314",671,38,19,16,15,53,20,29,20,0,87,0,92,136,64,24,58
"Block Group 2, Census Tract 314",397,16,0,82,0,0,0,0,33,0,18,65,87,14,16,50,16
"Block Group 3, Census Tract 314",719,44,0,15,0,56,0,17,0,14,37,156,114,61,39,68,98
"Block Group 4, Census Tract 314",675,0,19,0,0,21,0,65,0,12,34,65,176,131,24,59,69
"Block Group 5, Census Tract 314",625,29,0,0,0,51,0,49,18,15,134,22,31,33,32,43,168
"Block Group 1, Census Tract 315.01",523,162,64,0,68,36,0,0,0,11,25,33,58,3,15,42,6
"Block Group 2, Census Tract 315.01",1067,188,85,0,89,25,0,18,18,71,79,94,137,42,90,94,37
"Block Group 3, Census Tract 315.01",406,44,32,42,24,13,7,0,0,41,99,70,15,7,12,0,0
"Block Group 1, Census Tract 315.02",941,16,45,0,15,66,36,7,73,113,91,49,129,66,13,170,52
"Block Group 2, Census Tract 315.02",555,69,48,70,0,37,0,0,24,81,48,18,48,89,0,0,23
"Block Group 3, Census Tract 315.02",949,230,130,98,17,40,19,0,60,51,34,68,132,55,0,15,0
"Block Group 1, Census Tract 317",1041,49,74,53,70,21,14,13,56,17,43,90,118,74,12,219,118
"Block Group 2, Census Tract 317",698,63,0,29,0,16,0,0,0,84,70,56,83,59,14,69,155
"Block Group 3, Census Tract 317",772,0,18,0,0,35,0,12,37,0,129,110,86,91,89,118,47
"Block Group 4, Census Tract 317",596,0,0,0,12,71,59,30,0,0,29,16,165,37,50,30,97
"Block Group 1, Census Tract 318",1041,48,40,41,22,6,36,43,15,15,63,106,209,92,63,72,170
"Block Group 1, Census Tract 319",737,11,0,0,16,0,8,34,100,19,32,84,106,170,32,49,76
"Block Group 2, Census Tract 319",601,6,0,9,0,27,0,8,8,0,143,9,79,51,44,69,148
