area_name,Total,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Block Group 1, Census Tract 207.02",1142,56,0,0,0,10,0,21,0,0,0,6,0,0,0,107,390,20,12,103,32,258,37,82,8
"Block Group 2, Census Tract 207.02",1673,40,0,0,0,0,0,8,0,60,0,13,99,27,0,54,487,75,184,236,111,162,109,8,0
"Block Group 3, Census Tract 207.02",1365,153,0,0,0,0,20,0,0,74,0,17,0,0,87,170,131,17,54,114,21,442,65,0,0
"Block Group 4, Census Tract 207.02",986,0,0,0,0,0,0,0,0,0,0,60,0,0,0,60,241,0,0,390,48,162,25,0,0
"Block Group 1, Census Tract 208.01",1005,0,0,0,0,0,35,0,0,17,0,0,37,0,0,37,142,60,30,131,119,276,103,18,0
"Block Group 2, Census Tract 208.01",862,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,284,60,66,221,0,170,26,17,0
"Block Group 3, Census Tract 208.01",800,46,0,0,0,0,0,0,0,24,0,0,0,0,0,0,84,0,0,217,127,210,91,1,0
"Block Group 4, Census Tract 208.01",1653,172,0,0,0,0,0,0,0,60,33,18,0,67,0,38,279,120,44,173,137,402,52,40,18
"Block Group 1, Census Tract 208.02",860,130,0,0,0,0,0,0,0,0,0,0,0,36,22,0,217,0,98,93,20,172,53,19,0
"Block Group 2, Census Tract 208.02",1299,51,0,0,43,0,0,0,0,0,0,17,0,55,0,0,215,62,0,155,85,344,239,33,0
"Block Group 3, Census Tract 208.02",2535,214,0,0,0,0,40,70,0,98,81,0,226,143,118,208,389,71,101,110,210,291,164,0,1
"Block Group 4, Census Tract 208.02",719,61,0,0,0,0,0,0,0,0,0,7,0,0,0,3,142,30,0,14,61,334,67,0,0
"Block Group 1, Census Tract 209.01",1542,48,0,0,110,0,0,0,0,18,0,0,0,13,27,35,192,45,41,115,138,496,233,31,0
"Block Group 2, Census Tract 209.01",741,37,0,0,0,0,0,0,0,27,0,8,0,76,0,10,184,28,30,110,6,169,56,0,0
"Block Group 3, Census Tract 209.01",1751,75,0,0,0,44,11,0,0,107,0,0,0,11,17,67,396,18,77,271,38,342,207,39,31
"Block Group 1, Census Tract 209.02",2032,107,0,0,0,0,66,39,27,12,0,95,0,44,57,46,513,169,85,349,88,175,111,40,9
"Block Group 2, Census Tract 209.02",1193,50,4,0,0,0,0,0,0,0,0,55,0,57,0,0,261,53,3,132,161,290,108,10,9
"Block Group 1, Census Tract 301.01",780,29,0,0,0,0,41,0,0,36,0,0,0,44,0,0,228,119,52,28,70,126,7,0,0
"Block Group 2, Census Tract 301.01",553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,113,0,121,26,239,20,0,11
"Block Group 3, Census Tract 301.01",815,0,0,0,0,0,0,0,0,0,31,3,0,0,43,0,209,3,0,170,82,186,66,15,7
"Block Group 4, Census Tract 301.01",805,11,0,0,0,0,0,0,0,0,0,0,0,0,0,29,44,0,29,90,7,312,155,87,41
"Block Group 1, Census Tract 301.02",748,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,27,44,36,49,80,291,194,9,11
"Block Group 2, Census Tract 301.02",872,0,0,0,0,0,0,0,0,36,0,0,0,5,0,27,79,20,57,204,56,297,69,22,0
"Block Group 3, Census Tract 301.02",1081,7,0,0,0,0,0,0,0,0,0,0,0,0,189,117,92,27,25,106,104,269,78,37,30
"Block Group 1, Census Tract 301.03",659,0,0,0,0,0,0,0,0,0,0,23,0,0,0,22,14,29,6,95,33,245,164,27,1
"Block Group 2, Census Tract 301.03",654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,8,191,21,246,124,22,6
"Block Group 1, Census Tract 301.04",1036,50,0,0,0,0,0,0,0,0,0,39,25,0,5,28,63,0,75,111,52,272,169,75,72
"Block Group 2, Census Tract 301.04",329,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,120,0,0,93,8,63,15,0,0
"Block Group 1, Census Tract 302",942,0,0,0,0,0,0,0,0,22,0,0,0,23,0,0,98,14,44,98,44,362,134,98,5
"Block Group 2, Census Tract 302",977,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,9,0,139,77,265,214,109,40
"Block Group 3, Census Tract 302",771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,91,0,332,142,83,51
"Block Group 4, Census Tract 302",1844,0,0,0,0,0,0,56,0,0,0,0,0,0,44,20,480,3,17,127,66,580,239,190,22
"Block Group 1, Census Tract 303",1265,13,0,0,0,0,0,0,0,15,0,11,12,0,43,35,233,5,62,158,117,233,317,11,0
"Block Group 2, Census Tract 303",1456,48,0,0,0,0,0,0,0,38,0,0,14,0,89,43,482,0,28,76,33,472,37,96,0
