"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US170310209013","Block Group 3; Census Tract 209.01; Cook County; Illinois","880","223","342","192","538","145",
"1500000US170310209021","Block Group 1; Census Tract 209.02; Cook County; Illinois","878","191","359","106","519","197",
"1500000US170310209022","Block Group 2; Census Tract 209.02; Cook County; Illinois","719","136","325","87","394","138",
"1500000US170310301011","Block Group 1; Census Tract 301.01; Cook County; Illinois","375","148","0","12","375","148",
"1500000US170310301012","Block Group 2; Census Tract 301.01; Cook County; Illinois","391","156","137","76","254","137",
"1500000US170310301013","Block Group 3; Census Tract 301.01; Cook County; Illinois","728","163","30","34","698","163",
"1500000US170310301014","Block Group 4; Census Tract 301.01; Cook County; Illinois","553","141","494","140","59","47",
"1500000US170310301021","Block Group 1; Census Tract 301.02; Cook County; Illinois","533","92","397","76","136","76",
"1500000US170310301022","Block Group 2; Census Tract 301.02; Cook County; Illinois","704","143","31","26","673","146",
"1500000US170310301023","Block Group 3; Census Tract 301.02; Cook County; Illinois","641","158","381","132","260","95",
"1500000US170310301031","Block Group 1; Census Tract 301.03; Cook County; Illinois","360","119","115","72","245","103",
"1500000US170310301032","Block Group 2; Census Tract 301.03; Cook County; Illinois","670","117","183","76","487","105",
"1500000US170310301041","Block Group 1; Census Tract 301.04; Cook County; Illinois","700","112","376","83","324","111",
"1500000US170310301042","Block Group 2; Census Tract 301.04; Cook County; Illinois","291","95","12","19","279","92",
"1500000US170310302001","Block Group 1; Census Tract 302; Cook County; Illinois","716","133","256","84","460","131",
"1500000US170310302002","Block Group 2; Census Tract 302; Cook County; Illinois","687","134","307","86","380","145",
"1500000US170310302003","Block Group 3; Census Tract 302; Cook County; Illinois","410","119","268","69","142","105",
"1500000US170310302004","Block Group 4; Census Tract 302; Cook County; Illinois","762","262","405","142","357","251",
"1500000US170310303001","Block Group 1; Census Tract 303; Cook County; Illinois","694","134","188","81","506","110",
"1500000US170310303002","Block Group 2; Census Tract 303; Cook County; Illinois","796","201","310","127","486","171",
"1500000US170310304001","Block Group 1; Census Tract 304; Cook County; Illinois","757","102","217","63","540","96",
"1500000US170310304002","Block Group 2; Census Tract 304; Cook County; Illinois","521","120","217","64","304","126",
"1500000US170310305001","Block Group 1; Census Tract 305; Cook County; Illinois","730","200","394","189","336","131",
"1500000US170310305002","Block Group 2; Census Tract 305; Cook County; Illinois","784","202","350","128","434","163",
"1500000US170310305003","Block Group 3; Census Tract 305; Cook County; Illinois","726","201","375","173","351","129",
"1500000US170310305004","Block Group 4; Census Tract 305; Cook County; Illinois","743","175","395","147","348","139",
"1500000US170310306011","Block Group 1; Census Tract 306.01; Cook County; Illinois","593","185","9","14","584","184",
"1500000US170310306012","Block Group 2; Census Tract 306.01; Cook County; Illinois","548","129","168","95","380","104",
"1500000US170310306013","Block Group 3; Census Tract 306.01; Cook County; Illinois","742","218","326","158","416","175",
"1500000US170310306031","Block Group 1; Census Tract 306.03; Cook County; Illinois","606","112","113","48","493","101",
"1500000US170310306032","Block Group 2; Census Tract 306.03; Cook County; Illinois","754","138","57","57","697","136",
"1500000US170310306041","Block Group 1; Census Tract 306.04; Cook County; Illinois","786","182","79","55","707","177",
"1500000US170310306042","Block Group 2; Census Tract 306.04; Cook County; Illinois","857","163","480","111","377","136",
"1500000US170310306043","Block Group 3; Census Tract 306.04; Cook County; Illinois","466","144","27","28","439","145",
"1500000US170310307011","Block Group 1; Census Tract 307.01; Cook County; Illinois","877","86","150","45","727","89",
"1500000US170310307021","Block Group 1; Census Tract 307.02; Cook County; Illinois","555","103","357","85","198","68",
"1500000US170310307022","Block Group 2; Census Tract 307.02; Cook County; Illinois","959","169","550","102","409","190",
"1500000US170310307031","Block Group 1; Census Tract 307.03; Cook County; Illinois","494","162","179","54","315","156",
"1500000US170310307032","Block Group 2; Census Tract 307.03; Cook County; Illinois","418","104","14","25","404","104",
"1500000US170310307033","Block Group 3; Census Tract 307.03; Cook County; Illinois","1002","215","298","74","704","207",
"1500000US170310307061","Block Group 1; Census Tract 307.06; Cook County; Illinois","1402","187","488","149","914","154",
"1500000US170310307062","Block Group 2; Census Tract 307.06; Cook County; Illinois","480","164","245","140","235","94",
"1500000US170310308001","Block Group 1; Census Tract 308; Cook County; Illinois","630","163","152","76","478","169",
"1500000US170310308002","Block Group 2; Census Tract 308; Cook County; Illinois","534","126","306","108","228","100",
"1500000US170310308003","Block Group 3; Census Tract 308; Cook County; Illinois","543","158","193","79","350","149",
"1500000US170310308004","Block Group 4; Census Tract 308; Cook County; Illinois","460","148","205","101","255","109",
"1500000US170310309001","Block Group 1; Census Tract 309; Cook County; Illinois","217","89","105","66","112","69",
"1500000US170310309002","Block Group 2; Census Tract 309; Cook County; Illinois","553","148","207","95","346","141",
"1500000US170310309003","Block Group 3; Census Tract 309; Cook County; Illinois","422","151","168","58","254","148",
"1500000US170310309004","Block Group 4; Census Tract 309; Cook County; Illinois","289","90","210","86","79","43",
"1500000US170310310001","Block Group 1; Census Tract 310; Cook County; Illinois","390","120","204","90","186","102",
"1500000US170310310002","Block Group 2; Census Tract 310; Cook County; Illinois","636","183","413","151","223","108",
"1500000US170310310003","Block Group 3; Census Tract 310; Cook County; Illinois","958","249","318","115","640","233",
"1500000US170310311001","Block Group 1; Census Tract 311; Cook County; Illinois","1061","230","306","127","755","214",
"1500000US170310311002","Block Group 2; Census Tract 311; Cook County; Illinois","949","295","93","68","856","299",
"1500000US170310311003","Block Group 3; Census Tract 311; Cook County; Illinois","851","251","136","73","715","245",
"1500000US170310312001","Block Group 1; Census Tract 312; Cook County; Illinois","555","204","280","132","275","149",
"1500000US170310312002","Block Group 2; Census Tract 312; Cook County; Illinois","846","264","59","57","787","273",
"1500000US170310312003","Block Group 3; Census Tract 312; Cook County; Illinois","984","324","27","43","957","322",
"1500000US170310312004","Block Group 4; Census Tract 312; Cook County; Illinois","1072","339","219","168","853","306",
"1500000US170310313001","Block Group 1; Census Tract 313; Cook County; Illinois","882","266","277","147","605","234",
"1500000US170310313002","Block Group 2; Census Tract 313; Cook County; Illinois","882","247","312","132","570","225",
"1500000US170310313003","Block Group 3; Census Tract 313; Cook County; Illinois","264","159","82","66","182","150",
"1500000US170310313004","Block Group 4; Census Tract 313; Cook County; Illinois","1566","374","552","318","1014","302",
"1500000US170310313005","Block Group 5; Census Tract 313; Cook County; Illinois","908","161","395","113","513","162",
"1500000US170310314001","Block Group 1; Census Tract 314; Cook County; Illinois","671","160","377","121","294","129",
"1500000US170310314002","Block Group 2; Census Tract 314; Cook County; Illinois","397","104","199","67","198","90",
"1500000US170310314003","Block Group 3; Census Tract 314; Cook County; Illinois","719","173","369","140","350","134",
"1500000US170310314004","Block Group 4; Census Tract 314; Cook County; Illinois","675","180","241","112","434","151",
"1500000US170310314005","Block Group 5; Census Tract 314; Cook County; Illinois","625","234","316","119","309","234",
"1500000US170310315011","Block Group 1; Census Tract 315.01; Cook County; Illinois","523","136","75","61","448","127",
"1500000US170310315012","Block Group 2; Census Tract 315.01; Cook County; Illinois","1067","198","295","124","772","175",
"1500000US170310315013","Block Group 3; Census Tract 315.01; Cook County; Illinois","406","109","17","28","389","108",
"1500000US170310315021","Block Group 1; Census Tract 315.02; Cook County; Illinois","941","225","227","85","714","227",
"1500000US170310315022","Block Group 2; Census Tract 315.02; Cook County; Illinois","555","165","66","53","489","162",
"1500000US170310315023","Block Group 3; Census Tract 315.02; Cook County; Illinois","949","215","16","26","933","216",
"1500000US170310317001","Block Group 1; Census Tract 317; Cook County; Illinois","1041","252","464","187","577","156",
"1500000US170310317002","Block Group 2; Census Tract 317; Cook County; Illinois","698","184","277","159","421","128",
"1500000US170310317003","Block Group 3; Census Tract 317; Cook County; Illinois","772","194","241","106","531","165",
"1500000US170310317004","Block Group 4; Census Tract 317; Cook County; Illinois","596","135","291","99","305","134",
"1500000US170310318001","Block Group 1; Census Tract 318; Cook County; Illinois","1041","94","414","82","627","95",
"1500000US170310319001","Block Group 1; Census Tract 319; Cook County; Illinois","737","126","189","56","548","124",
"1500000US170310319002","Block Group 2; Census Tract 319; Cook County; Illinois","601","174","291","78","310","167",
"1500000US170310321001","Block Group 1; Census Tract 321; Cook County; Illinois","1047","283","266","124","781","270",
"1500000US170310321002","Block Group 2; Census Tract 321; Cook County; Illinois","592","190","127","91","465","178",
"1500000US170310321003","Block Group 3; Census Tract 321; Cook County; Illinois","854","328","46","56","808","326",
"1500000US170310321004","Block Group 4; Census Tract 321; Cook County; Illinois","1068","412","264","338","804","234",
"1500000US170310321005","Block Group 5; Census Tract 321; Cook County; Illinois","646","210","336","160","310","201",
"1500000US170310401001","Block Group 1; Census Tract 401; Cook County; Illinois","618","145","285","74","333","144",
"1500000US170310401002","Block Group 2; Census Tract 401; Cook County; Illinois","831","159","339","105","492","125",
