"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US170310304001","Block Group 1, Census Tract 304, Cook County, Illinois","865","82","257","58","608","94",
"1500000US170310304002","Block Group 2, Census Tract 304, Cook County, Illinois","453","79","239","61","214","64",
"1500000US170310305001","Block Group 1, Census Tract 305, Cook County, Illinois","579","148","256","78","323","140",
"1500000US170310305002","Block Group 2, Census Tract 305, Cook County, Illinois","826","148","344","102","482","138",
"1500000US170310305003","Block Group 3, Census Tract 305, Cook County, Illinois","687","119","330","107","357","110",
"1500000US170310305004","Block Group 4, Census Tract 305, Cook County, Illinois","840","158","495","133","345","143",
"1500000US170310306011","Block Group 1, Census Tract 306.01, Cook County, Illinois","573","117","54","45","519","116",
"1500000US170310306012","Block Group 2, Census Tract 306.01, Cook County, Illinois","496","87","82","64","414","88",
"1500000US170310306013","Block Group 3, Census Tract 306.01, Cook County, Illinois","632","112","271","94","361","91",
"1500000US170310306031","Block Group 1, Census Tract 306.03, Cook County, Illinois","617","89","79","39","538","90",
"1500000US170310306032","Block Group 2, Census Tract 306.03, Cook County, Illinois","853","99","82","53","771","105",
"1500000US170310306041","Block Group 1, Census Tract 306.04, Cook County, Illinois","862","153","103","46","759","151",
"1500000US170310306042","Block Group 2, Census Tract 306.04, Cook County, Illinois","954","134","582","118","372","122",
"1500000US170310306043","Block Group 3, Census Tract 306.04, Cook County, Illinois","546","87","21","24","525","91",
"1500000US170310307011","Block Group 1, Census Tract 307.01, Cook County, Illinois","906","55","188","50","718","75",
"1500000US170310307021","Block Group 1, Census Tract 307.02, Cook County, Illinois","603","102","354","85","249","76",
"1500000US170310307022","Block Group 2, Census Tract 307.02, Cook County, Illinois","870","99","531","99","339","115",
"1500000US170310307031","Block Group 1, Census Tract 307.03, Cook County, Illinois","547","101","174","56","373","95",
"1500000US170310307032","Block Group 2, Census Tract 307.03, Cook County, Illinois","383","96","7","12","376","97",
