"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N","P2_005N","P2_006N","P2_007N","P2_008N","P2_009N","P2_010N","P2_011N","P2_012N","P2_013N","P2_014N","P2_015N","P2_016N","P2_017N","P2_018N","P2_019N","P2_020N","P2_021N","P2_022N","P2_023N","P2_024N","P2_025N","P2_026N","P2_027N","P2_028N","P2_029N","P2_030N","P2_031N","P2_032N","P2_033N","P2_034N","P2_035N","P2_036N","P2_037N","P2_038N","P2_039N","P2_040N","P2_041N","P2_042N","P2_043N","P2_044N","P2_045N","P2_046N","P2_047N","P2_048N","P2_049N","P2_050N","P2_051N","P2_052N","P2_053N","P2_054N","P2_055N","P2_056N","P2_057N","P2_058N","P2_059N","P2_060N","P2_061N","P2_062N","P2_063N","P2_064N","P2_065N","P2_066N","P2_067N","P2_068N","P2_069N","P2_070N","P2_071N","P2_072N","P2_073N",
"1500000US170311908003","Block Group 3, Census Tract 1908, Cook County, Illinois","1715","1571","144","138","92","34","0","7","0","5","6","6","1","0","1","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311908004","Block Group 4, Census Tract 1908, Cook County, Illinois","1760","1562","198","180","116","29","1","20","0","14","18","15","2","3","2","0","6","1","0","0","0","0","0","0","1","0","0","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311908005","Block Group 5, Census Tract 1908, Cook County, Illinois","1305","1117","188","178","141","37","0","0","0","0","10","10","6","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311909001","Block Group 1, Census Tract 1909, Cook County, Illinois","1927","1573","354","336","200","82","0","50","0","4","18","14","10","0","0","1","0","0","0","0","0","0","0","1","2","0","0","4","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311910001","Block Group 1, Census Tract 1910, Cook County, Illinois","935","821","114","105","77","12","1","11","0","4","9","7","3","3","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311910002","Block Group 2, Census Tract 1910, Cook County, Illinois","1487","1344","143","132","61","51","7","13","0","0","11","8","0","0","2","0","1","0","0","0","2","0","0","0","2","1","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311911001","Block Group 1, Census Tract 1911, Cook County, Illinois","796","703","93","82","50","30","0","2","0","0","11","10","6","0","3","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311911002","Block Group 2, Census Tract 1911, Cook County, Illinois","1001","857","144","136","56","60","1","15","0","4","8","6","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311911003","Block Group 3, Census Tract 1911, Cook County, Illinois","1094","971","123","119","64","48","0","6","1","0","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311911004","Block Group 4, Census Tract 1911, Cook County, Illinois","1468","1295","173","160","89","51","4","11","0","5","13","11","0","2","2","0","6","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
