"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US170316711001","Block Group 1, Census Tract 6711, Cook County, Illinois","266","54","56","38","5","8","19","23","29","27","6","8","42","30","18","14","16","19","15","23","14","23","29","27","0","11","17","16","0","11","0","11","0","11",
"1500000US170316712001","Block Group 1, Census Tract 6712, Cook County, Illinois","211","53","35","30","0","11","14","21","40","32","0","11","31","34","17","14","0","11","9","14","30","28","8","10","15","16","7","10","0","11","0","11","5","7",
"1500000US170316712002","Block Group 2, Census Tract 6712, Cook County, Illinois","108","37","30","19","0","11","31","29","10","12","0","11","10","14","0","11","0","11","0","11","11","17","9","14","2","8","0","11","5","8","0","11","0","11",
"1500000US170316713001","Block Group 1, Census Tract 6713, Cook County, Illinois","314","70","13","14","50","46","55","44","14","15","36","38","24","29","36","34","28","33","6","9","9","13","30","26","0","11","0","11","6","9","7","11","0","11",
"1500000US170316713002","Block Group 2, Census Tract 6713, Cook County, Illinois","138","49","8","12","14","14","14","24","11","18","0","11","18","20","14","16","14","23","0","11","0","11","26","19","8","13","0","11","11","17","0","11","0","11",
"1500000US170316713003","Block Group 3, Census Tract 6713, Cook County, Illinois","213","58","49","48","23","24","37","44","39","36","0","11","8","11","0","11","16","19","24","29","8","13","0","11","9","12","0","11","0","11","0","11","0","11",
"1500000US170316714001","Block Group 1, Census Tract 6714, Cook County, Illinois","268","62","8","11","23","28","31","31","100","59","0","11","8","12","17","26","7","11","7","11","0","11","27","33","19","29","14","15","0","11","7","11","0","11",
"1500000US170316714002","Block Group 2, Census Tract 6714, Cook County, Illinois","206","65","44","41","8","13","50","44","14","17","7","11","14","17","7","10","0","11","0","11","6","10","7","10","15","11","8","12","20","15","0","11","6","10",
"1500000US170316715001","Block Group 1, Census Tract 6715, Cook County, Illinois","202","67","46","35","0","11","12","20","36","29","24","22","12","13","0","11","47","43","0","11","0","11","6","10","7","10","6","9","6","9","0","11","0","11",
"1500000US170316715002","Block Group 2, Census Tract 6715, Cook County, Illinois","394","80","50","40","19","23","63","50","27","27","67","49","13","16","32","27","17","21","39","41","33","34","29","27","0","11","5","8","0","11","0","11","0","11",
"1500000US170316715003","Block Group 3, Census Tract 6715, Cook County, Illinois","275","72","37","22","23","29","37","33","9","10","34","27","26","25","22","22","0","11","10","16","15","17","20","24","25","28","0","11","0","11","0","11","17","23",
"1500000US170316716001","Block Group 1, Census Tract 6716, Cook County, Illinois","307","80","64","48","71","50","82","51","35","34","10","12","5","9","7","12","0","11","0","11","0","11","33","41","0","11","0","11","0","11","0","11","0","11",
"1500000US170316716002","Block Group 2, Census Tract 6716, Cook County, Illinois","249","78","18","27","27","28","49","43","10","17","5","11","33","21","6","9","29","29","0","11","6","10","28","33","0","11","24","28","0","11","0","11","14","22",
"1500000US170316716003","Block Group 3, Census Tract 6716, Cook County, Illinois","111","62","19","28","8","11","25","23","14","21","0","11","10","14","0","11","0","11","0","11","0","11","0","11","35","39","0","11","0","11","0","11","0","11",
"1500000US170316718001","Block Group 1, Census Tract 6718, Cook County, Illinois","383","48","21","19","49","33","40","28","38","29","49","30","13","14","24","26","11","17","12","13","24","22","31","29","39","37","9","14","8","12","12","19","3","7",
"1500000US170316719001","Block Group 1, Census Tract 6719, Cook County, Illinois","290","54","25","20","8","11","7","10","22","25","14","13","9","13","12","13","24","20","33","26","44","28","32","18","29","27","27","24","0","11","4","6","0","11",
"1500000US170316720001","Block Group 1, Census Tract 6720, Cook County, Illinois","221","100","8","13","0","11","44","55","25","37","0","11","0","11","8","13","10","15","24","28","36","49","40","61","26","39","0","11","0","11","0","11","0","11",
"1500000US170316720002","Block Group 2, Census Tract 6720, Cook County, Illinois","351","130","7","12","7","11","68","76","54","54","0","11","8","13","0","11","11","17","0","11","85","81","9","15","17","20","39","49","9","14","0","11","37","45",
"1500000US170316720003","Block Group 3, Census Tract 6720, Cook County, Illinois","383","137","65","74","0","11","65","86","51","78","63","65","10","16","61","82","14","21","0","11","17","20","0","11","0","11","29","40","0","11","8","13","0","11",
"1500000US170316720004","Block Group 4, Census Tract 6720, Cook County, Illinois","118","65","27","26","0","11","0","11","0","11","0","11","0","11","9","14","0","11","0","11","35","60","12","19","0","11","9","15","18","30","0","11","8","12",
"1500000US170316805001","Block Group 1, Census Tract 6805, Cook County, Illinois","161","56","27","30","22","27","28","25","13","19","32","33","0","11","0","11","0","11","22","21","0","11","0","11","12","20","5","8","0","11","0","11","0","11",
"1500000US170316805002","Block Group 2, Census Tract 6805, Cook County, Illinois","296","56","61","40","24","24","21","25","45","32","12","15","12","16","21","24","9","14","0","11","48","32","0","11","18","21","15","24","0","11","0","11","10","17",
"1500000US170316806001","Block Group 1, Census Tract 6806, Cook County, Illinois","88","44","8","12","6","8","11","18","0","11","0","11","13","22","0","11","0","11","5","7","19","21","12","13","14","23","0","11","0","11","0","11","0","11",
"1500000US170316806002","Block Group 2, Census Tract 6806, Cook County, Illinois","274","61","72","41","6","8","22","24","40","38","12","17","60","48","0","11","19","22","0","11","0","11","2","7","24","23","17","27","0","11","0","11","0","11",
"1500000US170316809001","Block Group 1, Census Tract 6809, Cook County, Illinois","587","133","255","100","101","62","33","41","74","61","0","11","0","11","0","11","43","54","52","57","8","14","21","35","0","11","0","11","0","11","0","11","0","11",
"1500000US170316809002","Block Group 2, Census Tract 6809, Cook County, Illinois","417","119","182","77","42","46","59","49","0","11","50","45","0","11","31","51","0","11","0","11","0","11","10","16","43","59","0","11","0","11","0","11","0","11",
"1500000US170316809003","Block Group 3, Census Tract 6809, Cook County, Illinois","336","108","9","14","60","59","9","15","79","60","71","78","0","11","30","48","19","21","8","13","8","13","21","24","0","11","22","26","0","11","0","11","0","11",
"1500000US170316809004","Block Group 4, Census Tract 6809, Cook County, Illinois","455","128","98","79","98","77","25","40","85","67","23","36","45","46","27","44","30","47","14","21","10","17","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170316810001","Block Group 1, Census Tract 6810, Cook County, Illinois","128","63","19","22","0","11","28","38","18","29","0","11","24","25","12","21","0","11","0","11","0","11","0","11","19","20","8","13","0","11","0","11","0","11",
"1500000US170316810002","Block Group 2, Census Tract 6810, Cook County, Illinois","146","85","22","34","0","11","44","51","0","11","16","27","0","11","0","11","0","11","27","42","0","11","0","11","18","28","7","11","0","11","0","11","12","19",
"1500000US170316810003","Block Group 3, Census Tract 6810, Cook County, Illinois","160","68","15","24","0","11","70","56","20","32","6","11","8","12","0","11","0","11","8","14","22","36","0","11","11","17","0","11","0","11","0","11","0","11",
"1500000US170316810004","Block Group 4, Census Tract 6810, Cook County, Illinois","608","125","290","103","64","49","118","85","31","32","11","17","0","11","37","42","8","11","0","11","0","11","24","38","0","11","0","11","13","22","0","11","12","18",
"1500000US170316811001","Block Group 1, Census Tract 6811, Cook County, Illinois","223","95","40","37","26","42","0","11","37","43","25","40","48","53","12","19","9","15","0","11","26","40","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170316811002","Block Group 2, Census Tract 6811, Cook County, Illinois","151","72","45","41","0","11","0","11","25","41","7","14","0","11","0","11","0","11","18","25","0","11","0","11","34","40","0","11","0","11","22","32","0","11",
"1500000US170316811003","Block Group 3, Census Tract 6811, Cook County, Illinois","211","84","125","85","0","11","1","14","13","21","8","12","53","56","0","11","0","11","0","11","11","19","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170316811004","Block Group 4, Census Tract 6811, Cook County, Illinois","162","77","0","11","49","51","9","16","0","11","0","11","0","11","32","32","0","11","0","11","22","35","24","37","0","11","26","38","0","11","0","11","0","11",
"1500000US170316811005","Block Group 5, Census Tract 6811, Cook County, Illinois","116","66","18","21","46","52","0","11","5","18","0","11","0","11","0","11","0","11","0","11","20","30","12","19","15","23","0","11","0","11","0","11","0","11",
"1500000US170316812001","Block Group 1, Census Tract 6812, Cook County, Illinois","119","56","26","30","13","20","31","34","16","26","0","11","0","11","0","11","0","11","12","18","12","18","0","11","0","11","0","11","9","13","0","11","0","11",
"1500000US170316812002","Block Group 2, Census Tract 6812, Cook County, Illinois","282","79","85","55","0","11","49","38","50","43","34","29","8","11","16","25","0","11","0","11","28","32","9","12","3","9","0","11","0","11","0","11","0","11",
"1500000US170316812003","Block Group 3, Census Tract 6812, Cook County, Illinois","333","84","86","50","46","41","47","41","15","22","32","36","0","11","31","38","16","25","0","11","36","34","6","9","0","11","5","12","0","11","13","20","0","11",
"1500000US170316812004","Block Group 4, Census Tract 6812, Cook County, Illinois","65","39","18","26","0","11","0","11","0","11","8","12","0","11","7","10","0","11","0","11","0","11","0","11","8","13","20","25","0","11","0","11","4","7",
"1500000US170316813001","Block Group 1, Census Tract 6813, Cook County, Illinois","240","71","48","37","39","32","42","42","0","11","0","11","27","31","20","26","7","10","0","11","8","11","33","31","10","10","0","11","6","9","0","11","0","11",
"1500000US170316813002","Block Group 2, Census Tract 6813, Cook County, Illinois","300","75","83","55","66","44","17","17","0","11","37","40","8","13","0","11","17","17","7","10","19","21","8","11","38","42","0","11","0","11","0","11","0","11",
