"GEO_ID","NAME","POPGROUP","POPGROUP_LABEL","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Race/Ethnic Group","Population Groups","Estimate!!Total","Margin of Error!!Total",
"1400000US17031031100","Census Tract 311; Cook County; Illinois","003","White alone or in combination with one or more other races","3912","638",
"1400000US17031031200","Census Tract 312; Cook County; Illinois","001","Total population","5878","681",
"1400000US17031031200","Census Tract 312; Cook County; Illinois","003","White alone or in combination with one or more other races","2409","516",
"1400000US17031031200","Census Tract 312; Cook County; Illinois","005","Black or African American alone or in combination with one or more other races","2119","522",
"1400000US17031031200","Census Tract 312; Cook County; Illinois","400","Hispanic or Latino (of any race)","1361","527",
"1400000US17031031300","Census Tract 313; Cook County; Illinois","001","Total population","7237","851",
"1400000US17031031300","Census Tract 313; Cook County; Illinois","003","White alone or in combination with one or more other races","4535","568",
"1400000US17031031300","Census Tract 313; Cook County; Illinois","005","Black or African American alone or in combination with one or more other races","1176","369",
"1400000US17031031400","Census Tract 314; Cook County; Illinois","001","Total population","4934","540",
"1400000US17031031400","Census Tract 314; Cook County; Illinois","003","White alone or in combination with one or more other races","4148","544",
"1400000US17031031501","Census Tract 315.01; Cook County; Illinois","001","Total population","4684","814",
"1400000US17031031501","Census Tract 315.01; Cook County; Illinois","003","White alone or in combination with one or more other races","1721","302",
"1400000US17031031501","Census Tract 315.01; Cook County; Illinois","005","Black or African American alone or in combination with one or more other races","1797","799",
"1400000US17031031502","Census Tract 315.02; Cook County; Illinois","001","Total population","4878","485",
"1400000US17031031502","Census Tract 315.02; Cook County; Illinois","003","White alone or in combination with one or more other races","2342","425",
"1400000US17031031502","Census Tract 315.02; Cook County; Illinois","005","Black or African American alone or in combination with one or more other races","2286","416",
"1400000US17031031700","Census Tract 317; Cook County; Illinois","001","Total population","6355","1142",
"1400000US17031031700","Census Tract 317; Cook County; Illinois","003","White alone or in combination with one or more other races","4850","953",
"1400000US17031031800","Census Tract 318; Cook County; Illinois","001","Total population","2014","218",
"1400000US17031031800","Census Tract 318; Cook County; Illinois","003","White alone or in combination with one or more other races","1504","173",
"1400000US17031031900","Census Tract 319; Cook County; Illinois","001","Total population","2599","350",
"1400000US17031031900","Census Tract 319; Cook County; Illinois","003","White alone or in combination with one or more other races","2138","320",
"1400000US17031032100","Census Tract 321; Cook County; Illinois","001","Total population","7944","1164",
"1400000US17031032100","Census Tract 321; Cook County; Illinois","003","White alone or in combination with one or more other races","5834","1210",
"1400000US17031040100","Census Tract 401; Cook County; Illinois","001","Total population","3982","416",
"1400000US17031040100","Census Tract 401; Cook County; Illinois","003","White alone or in combination with one or more other races","3214","353",
"1400000US17031040201","Census Tract 402.01; Cook County; Illinois","001","Total population","6980","976",
"1400000US17031040201","Census Tract 402.01; Cook County; Illinois","003","White alone or in combination with one or more other races","5717","872",
"1400000US17031040201","Census Tract 402.01; Cook County; Illinois","400","Hispanic or Latino (of any race)","1388","467",
"1400000US17031040202","Census Tract 402.02; Cook County; Illinois","001","Total population","7726","991",
"1400000US17031040202","Census Tract 402.02; Cook County; Illinois","003","White alone or in combination with one or more other races","4678","1076",
"1400000US17031040202","Census Tract 402.02; Cook County; Illinois","400","Hispanic or Latino (of any race)","2298","780",
"1400000US17031040300","Census Tract 403; Cook County; Illinois","001","Total population","2988","449",
"1400000US17031040300","Census Tract 403; Cook County; Illinois","003","White alone or in combination with one or more other races","1698","348",
"1400000US17031040401","Census Tract 404.01; Cook County; Illinois","001","Total population","3440","536",
"1400000US17031040401","Census Tract 404.01; Cook County; Illinois","003","White alone or in combination with one or more other races","2894","430",
"1400000US17031040402","Census Tract 404.02; Cook County; Illinois","001","Total population","4621","524",
"1400000US17031040402","Census Tract 404.02; Cook County; Illinois","003","White alone or in combination with one or more other races","4102","480",
"1400000US17031040600","Census Tract 406; Cook County; Illinois","001","Total population","2817","409",
"1400000US17031040600","Census Tract 406; Cook County; Illinois","003","White alone or in combination with one or more other races","2213","341",
"1400000US17031040700","Census Tract 407; Cook County; Illinois","001","Total population","3667","413",
"1400000US17031040700","Census Tract 407; Cook County; Illinois","003","White alone or in combination with one or more other races","3004","433",
"1400000US17031040800","Census Tract 408; Cook County; Illinois","001","Total population","1689","191",
"1400000US17031040800","Census Tract 408; Cook County; Illinois","003","White alone or in combination with one or more other races","1515","188",
"1400000US17031040900","Census Tract 409; Cook County; Illinois","001","Total population","1816","263",
"1400000US17031040900","Census Tract 409; Cook County; Illinois","003","White alone or in combination with one or more other races","1736","264",
"1400000US17031050100","Census Tract 501; Cook County; Illinois","001","Total population","2769","426",
"1400000US17031050100","Census Tract 501; Cook County; Illinois","003","White alone or in combination with one or more other races","2528","417",
"1400000US17031050200","Census Tract 502; Cook County; Illinois","001","Total population","5915","765",
"1400000US17031050200","Census Tract 502; Cook County; Illinois","003","White alone or in combination with one or more other races","5414","755",
"1400000US17031050300","Census Tract 503; Cook County; Illinois","001","Total population","2755","446",
"1400000US17031050300","Census Tract 503; Cook County; Illinois","003","White alone or in combination with one or more other races","2160","397",
"1400000US17031050500","Census Tract 505; Cook County; Illinois","001","Total population","5587","786",
"1400000US17031050500","Census Tract 505; Cook County; Illinois","003","White alone or in combination with one or more other races","4987","648",
"1400000US17031050600","Census Tract 506; Cook County; Illinois","001","Total population","2188","272",
"1400000US17031050600","Census Tract 506; Cook County; Illinois","003","White alone or in combination with one or more other races","2021","270",
"1400000US17031050700","Census Tract 507; Cook County; Illinois","001","Total population","1501","231",
"1400000US17031050700","Census Tract 507; Cook County; Illinois","003","White alone or in combination with one or more other races","1440","229",
"1400000US17031050800","Census Tract 508; Cook County; Illinois","001","Total population","1439","348",
"1400000US17031050800","Census Tract 508; Cook County; Illinois","003","White alone or in combination with one or more other races","1253","357",
"1400000US17031050900","Census Tract 509; Cook County; Illinois","001","Total population","1532","254",
"1400000US17031050900","Census Tract 509; Cook County; Illinois","003","White alone or in combination with one or more other races","1358","254",
"1400000US17031051000","Census Tract 510; Cook County; Illinois","001","Total population","1746","198",
"1400000US17031051000","Census Tract 510; Cook County; Illinois","003","White alone or in combination with one or more other races","1559","165",
"1400000US17031051100","Census Tract 511; Cook County; Illinois","001","Total population","1939","281",
"1400000US17031051100","Census Tract 511; Cook County; Illinois","003","White alone or in combination with one or more other races","1785","297",
"1400000US17031051200","Census Tract 512; Cook County; Illinois","001","Total population","1564","220",
"1400000US17031051200","Census Tract 512; Cook County; Illinois","003","White alone or in combination with one or more other races","1412","223",
"1400000US17031051300","Census Tract 513; Cook County; Illinois","001","Total population","3249","443",
"1400000US17031051300","Census Tract 513; Cook County; Illinois","003","White alone or in combination with one or more other races","2854","464",
"1400000US17031051400","Census Tract 514; Cook County; Illinois","001","Total population","2428","362",
"1400000US17031051400","Census Tract 514; Cook County; Illinois","003","White alone or in combination with one or more other races","1838","369",
"1400000US17031060100","Census Tract 601; Cook County; Illinois","001","Total population","3211","495",
"1400000US17031060100","Census Tract 601; Cook County; Illinois","003","White alone or in combination with one or more other races","2817","454",
"1400000US17031060200","Census Tract 602; Cook County; Illinois","001","Total population","2188","303",
"1400000US17031060200","Census Tract 602; Cook County; Illinois","003","White alone or in combination with one or more other races","1882","262",
"1400000US17031060300","Census Tract 603; Cook County; Illinois","001","Total population","2902","459",
"1400000US17031060300","Census Tract 603; Cook County; Illinois","003","White alone or in combination with one or more other races","2577","489",
"1400000US17031060400","Census Tract 604; Cook County; Illinois","001","Total population","3804","458",
"1400000US17031060400","Census Tract 604; Cook County; Illinois","003","White alone or in combination with one or more other races","3460","428",
"1400000US17031060500","Census Tract 605; Cook County; Illinois","001","Total population","1241","183",
"1400000US17031060500","Census Tract 605; Cook County; Illinois","003","White alone or in combination with one or more other races","960","176",
"1400000US17031060800","Census Tract 608; Cook County; Illinois","001","Total population","5203","592",
"1400000US17031060800","Census Tract 608; Cook County; Illinois","003","White alone or in combination with one or more other races","4119","526",
"1400000US17031060900","Census Tract 609; Cook County; Illinois","001","Total population","7223","906",
"1400000US17031060900","Census Tract 609; Cook County; Illinois","003","White alone or in combination with one or more other races","6429","926",
"1400000US17031061000","Census Tract 610; Cook County; Illinois","001","Total population","2283","342",
"1400000US17031061000","Census Tract 610; Cook County; Illinois","003","White alone or in combination with one or more other races","1767","249",
"1400000US17031061100","Census Tract 611; Cook County; Illinois","001","Total population","1399","252",
"1400000US17031061100","Census Tract 611; Cook County; Illinois","003","White alone or in combination with one or more other races","1284","221",
"1400000US17031061200","Census Tract 612; Cook County; Illinois","001","Total population","2095","283",
"1400000US17031061200","Census Tract 612; Cook County; Illinois","003","White alone or in combination with one or more other races","1936","265",
"1400000US17031061500","Census Tract 615; Cook County; Illinois","001","Total population","2050","279",
"1400000US17031061500","Census Tract 615; Cook County; Illinois","003","White alone or in combination with one or more other races","1870","235",
"1400000US17031061800","Census Tract 618; Cook County; Illinois","001","Total population","1305","186",
"1400000US17031061800","Census Tract 618; Cook County; Illinois","003","White alone or in combination with one or more other races","1066","142",
"1400000US17031061901","Census Tract 619.01; Cook County; Illinois","001","Total population","3348","432",
"1400000US17031061901","Census Tract 619.01; Cook County; Illinois","003","White alone or in combination with one or more other races","2689","392",
"1400000US17031061902","Census Tract 619.02; Cook County; Illinois","001","Total population","4988","801",
"1400000US17031061902","Census Tract 619.02; Cook County; Illinois","003","White alone or in combination with one or more other races","4090","756",
"1400000US17031062000","Census Tract 620; Cook County; Illinois","001","Total population","3181","455",
"1400000US17031062000","Census Tract 620; Cook County; Illinois","003","White alone or in combination with one or more other races","2922","455",
"1400000US17031062100","Census Tract 621; Cook County; Illinois","001","Total population","3521","531",
"1400000US17031062100","Census Tract 621; Cook County; Illinois","003","White alone or in combination with one or more other races","3037","504",
"1400000US17031062200","Census Tract 622; Cook County; Illinois","001","Total population","3145","654",
"1400000US17031062200","Census Tract 622; Cook County; Illinois","003","White alone or in combination with one or more other races","2807","660",
"1400000US17031062300","Census Tract 623; Cook County; Illinois","001","Total population","1639","252",
