geoid,Geographic Area Name,Total Population,White Population,Black Population,Hispanic Population,racial_population_list
1500000US170312508002,"Block Group 2, Census Tract 2508",1161,9,957,195,"[1161, 9, 957, 195]"
1500000US170312510001,"Block Group 1, Census Tract 2510",1179,15,1064,100,"[1179, 15, 1064, 100]"
1500000US170312511001,"Block Group 1, Census Tract 2511",991,4,914,73,"[991, 4, 914, 73]"
1500000US170312511002,"Block Group 2, Census Tract 2511",1048,11,995,42,"[1048, 11, 995, 42]"
1500000US170312511003,"Block Group 3, Census Tract 2511",996,9,939,48,"[996, 9, 939, 48]"
1500000US170312511004,"Block Group 4, Census Tract 2511",1236,8,1176,52,"[1236, 8, 1176, 52]"
1500000US170312512001,"Block Group 1, Census Tract 2512",719,17,636,66,"[719, 17, 636, 66]"
1500000US170312512002,"Block Group 2, Census Tract 2512",890,11,843,36,"[890, 11, 843, 36]"
1500000US170312512003,"Block Group 3, Census Tract 2512",908,3,841,64,"[908, 3, 841, 64]"
1500000US170312512004,"Block Group 4, Census Tract 2512",1673,15,1548,110,"[1673, 15, 1548, 110]"
1500000US170312513001,"Block Group 1, Census Tract 2513",1013,12,919,82,"[1013, 12, 919, 82]"
1500000US170312513002,"Block Group 2, Census Tract 2513",830,1,800,29,"[830, 1, 800, 29]"
1500000US170312513003,"Block Group 3, Census Tract 2513",859,12,797,50,"[859, 12, 797, 50]"
1500000US170312513004,"Block Group 4, Census Tract 2513",914,20,865,29,"[914, 20, 865, 29]"
1500000US170312513005,"Block Group 5, Census Tract 2513",1281,25,1194,62,"[1281, 25, 1194, 62]"
1500000US170312514001,"Block Group 1, Census Tract 2514",736,23,675,38,"[736, 23, 675, 38]"
1500000US170312514002,"Block Group 2, Census Tract 2514",725,19,678,28,"[725, 19, 678, 28]"
1500000US170312514003,"Block Group 3, Census Tract 2514",1331,37,1260,34,"[1331, 37, 1260, 34]"
1500000US170312514004,"Block Group 4, Census Tract 2514",1159,98,1021,40,"[1159, 98, 1021, 40]"
1500000US170312515001,"Block Group 1, Census Tract 2515",953,17,905,31,"[953, 17, 905, 31]"
1500000US170312515002,"Block Group 2, Census Tract 2515",951,8,940,3,"[951, 8, 940, 3]"
1500000US170312515003,"Block Group 3, Census Tract 2515",1074,5,1052,17,"[1074, 5, 1052, 17]"
1500000US170312515004,"Block Group 4, Census Tract 2515",1772,55,1661,56,"[1772, 55, 1661, 56]"
