"GEO_ID","NAME","B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M","B25075_026E","B25075_026M","B25075_027E","B25075_027M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $49,999","Margin of Error!!Total:!!$40,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $69,999","Margin of Error!!Total:!!$60,000 to $69,999","Estimate!!Total:!!$70,000 to $79,999","Margin of Error!!Total:!!$70,000 to $79,999","Estimate!!Total:!!$80,000 to $89,999","Margin of Error!!Total:!!$80,000 to $89,999","Estimate!!Total:!!$90,000 to $99,999","Margin of Error!!Total:!!$90,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $174,999","Margin of Error!!Total:!!$150,000 to $174,999","Estimate!!Total:!!$175,000 to $199,999","Margin of Error!!Total:!!$175,000 to $199,999","Estimate!!Total:!!$200,000 to $249,999","Margin of Error!!Total:!!$200,000 to $249,999","Estimate!!Total:!!$250,000 to $299,999","Margin of Error!!Total:!!$250,000 to $299,999","Estimate!!Total:!!$300,000 to $399,999","Margin of Error!!Total:!!$300,000 to $399,999","Estimate!!Total:!!$400,000 to $499,999","Margin of Error!!Total:!!$400,000 to $499,999","Estimate!!Total:!!$500,000 to $749,999","Margin of Error!!Total:!!$500,000 to $749,999","Estimate!!Total:!!$750,000 to $999,999","Margin of Error!!Total:!!$750,000 to $999,999","Estimate!!Total:!!$1,000,000 to $1,499,999","Margin of Error!!Total:!!$1,000,000 to $1,499,999","Estimate!!Total:!!$1,500,000 to $1,999,999","Margin of Error!!Total:!!$1,500,000 to $1,999,999","Estimate!!Total:!!$2,000,000 or more","Margin of Error!!Total:!!$2,000,000 or more",
"1500000US170318048061","Block Group 1, Census Tract 8048.06, Cook County, Illinois","224","63","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","19","20","60","43","68","52","50","37","10","16","17","19","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170318048062","Block Group 2, Census Tract 8048.06, Cook County, Illinois","289","81","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","18","31","47","65","36","116","59","66","59","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170318048063","Block Group 3, Census Tract 8048.06, Cook County, Illinois","280","79","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","20","22","12","19","7","11","10","15","41","43","12","19","59","51","10","16","74","38","30","25","5","9","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170318048071","Block Group 1, Census Tract 8048.07, Cook County, Illinois","286","85","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","88","58","74","40","124","70","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170318048072","Block Group 2, Census Tract 8048.07, Cook County, Illinois","409","135","11","17","0","12","0","12","0","12","0","12","7","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","13","55","39","87","55","233","144","0","12","0","12","0","12","8","13","0","12","0","12",
"1500000US170318048073","Block Group 3, Census Tract 8048.07, Cook County, Illinois","540","117","6","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","5","10","51","38","170","76","71","45","84","76","51","57","64","35","38","39","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170318048074","Block Group 4, Census Tract 8048.07, Cook County, Illinois","331","73","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","17","0","12","0","12","0","12","0","12","0","12","9","15","0","12","63","42","64","30","184","68","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170318048081","Block Group 1, Census Tract 8048.08, Cook County, Illinois","319","55","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","21","23","22","119","51","137","45","23","17","0","12","0","12","0","12","0","12","0","12",
"1500000US170318048082","Block Group 2, Census Tract 8048.08, Cook County, Illinois","362","123","0","12","0","12","0","12","6","6","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","13","3","5","0","12","0","12","3","5","27","23","166","121","135","44","9","11","5","8","0","12","0","12","0","12","0","12",
"1500000US170318048083","Block Group 3, Census Tract 8048.08, Cook County, Illinois","218","38","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","11","15","14","55","23","103","39","27","21","10","11","0","12","0","12","0","12","0","12",
"1500000US170318048091","Block Group 1, Census Tract 8048.09, Cook County, Illinois","442","85","10","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","74","48","129","65","212","68","11","13","0","12","0","12","0","12","0","12","6","9",
"1500000US170318048092","Block Group 2, Census Tract 8048.09, Cook County, Illinois","648","170","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","13","0","12","0","12","0","12","0","12","0","12","0","12","9","13","8","12","35","34","33","22","133","118","130","63","260","135","21","21","0","12","11","17","0","12","0","12",
"1500000US170318048093","Block Group 3, Census Tract 8048.09, Cook County, Illinois","423","66","0","12","8","13","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","63","46","52","32","129","53","141","51","30","23","0","12","0","12","0","12","0","12","0","12",
"1500000US170318048101","Block Group 1, Census Tract 8048.10, Cook County, Illinois","338","99","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","27","26","31","0","12","0","12","38","36","30","26","79","60","133","73","0","12","15","23","0","12","0","12","0","12",
"1500000US170318048102","Block Group 2, Census Tract 8048.10, Cook County, Illinois","286","69","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","25","28","32","158","72","76","52","8","13","0","12","0","12","0","12","0","12",
"1500000US170318048103","Block Group 3, Census Tract 8048.10, Cook County, Illinois","980","185","22","35","0","12","0","12","0","12","0","12","35","46","0","12","16","29","0","12","65","76","20","31","0","12","16","26","173","130","82","63","0","12","13","20","51","47","71","62","280","107","101","53","35","41","0","12","0","12","0","12","0","12",
"1500000US170318048104","Block Group 4, Census Tract 8048.10, Cook County, Illinois","354","190","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","20","43","38","219","196","79","50","0","12","0","12","0","12","0","12","0","12","0","12",
