"GEO_ID","NAME","B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 or more","Margin of Error!!Total!!$1,000,000 or more",
"1500000US170316703001","Block Group 1, Census Tract 6703, Cook County, Illinois","34","23","2","5","0","11","0","11","0","11","0","11","0","11","0","11","0","11","4","8","0","11","3","5","0","11","2","8","0","11","0","11","6","9","0","11","17","19","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170316703002","Block Group 2, Census Tract 6703, Cook County, Illinois","157","45","9","13","0","11","6","9","0","11","10","13","2","6","0","11","0","11","21","17","34","29","15","23","0","11","16","15","14","18","0","11","10","10","16","15","0","11","0","11","4","7","0","11","0","11","0","11","0","11",
"1500000US170316704001","Block Group 1, Census Tract 6704, Cook County, Illinois","174","55","0","11","0","11","4","7","0","11","0","11","0","11","3","6","16","17","18","19","7","9","8","13","10","14","0","11","34","28","15","16","22","20","15","23","19","18","0","11","0","11","0","11","0","11","0","11","3","4",
"1500000US170316705001","Block Group 1, Census Tract 6705, Cook County, Illinois","212","42","0","11","5","7","0","11","5","8","0","11","10","12","0","11","11","15","9","13","0","11","6","8","15","15","8","9","66","28","24","18","24","21","0","11","7","10","12","15","0","11","10","15","0","11","0","11","0","11",
"1500000US170316706001","Block Group 1, Census Tract 6706, Cook County, Illinois","190","56","0","11","0","11","2","5","0","11","3","5","11","14","8","10","30","27","39","35","16","23","0","11","0","11","0","11","38","33","8","9","35","27","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170316706002","Block Group 2, Census Tract 6706, Cook County, Illinois","70","46","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","14","0","11","0","11","9","14","0","11","7","8","17","20","0","11","0","11","4","6","24","37","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170316707001","Block Group 1, Census Tract 6707, Cook County, Illinois","76","39","9","10","0","11","0","11","5","8","5","7","0","11","0","11","13","21","12","19","10","15","12","19","0","11","0","11","5","8","5","8","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170316707002","Block Group 2, Census Tract 6707, Cook County, Illinois","61","37","0","11","0","11","0","11","0","11","4","8","0","11","9","14","0","11","9","9","0","11","12","20","0","11","0","11","13","22","0","11","4","7","0","11","10","10","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170316708001","Block Group 1, Census Tract 6708, Cook County, Illinois","82","30","0","11","0","11","0","11","0","11","0","11","0","11","0","11","13","17","0","11","8","12","5","10","5","7","9","14","19","19","12","13","0","11","11","12","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170316708002","Block Group 2, Census Tract 6708, Cook County, Illinois","119","41","5","7","0","11","0","11","0","11","0","11","0","11","12","13","0","11","6","9","22","18","6","10","22","30","5","9","33","27","7","10","1","4","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
